conf,ts,HC1,HC2,HC3,HC_OPF,t_opf,consumers,nodes,unc
65043_775431_configuration.json,missing,0.0,0.0,0.0,185.46504966010127,2.3580000400543213,80,17,1
65043_775433_configuration.json,missing,0.0,0.0,0.0,283.1899134495835,0.312999963760376,120,24,1
65043_775435_configuration.json,missing,0.0,0.0,0.0,212.07716866226582,0.12099981307983398,38,12,1
65043_775437_configuration.json,missing,0.0,0.0,0.0,282.0923365684908,0.2070000171661377,106,14,1
65043_775439_configuration.json,missing,0.0,0.0,0.0,286.19766607843775,0.24400019645690918,116,20,1
65043_775441_configuration.json,missing,0.0,0.0,0.0,0.0,0.08299994468688965,0,1,1
65043_775443_configuration.json,missing,0.0,0.0,0.0,0.0,0.05799984931945801,0,1,1
65043_775445_configuration.json,missing,0.0,0.0,0.0,0.0,0.06200003623962402,0,1,1
65079_77883_configuration.json,missing,0.0,0.0,0.0,0.0,0.05799984931945801,0,1,1
65079_77899_configuration.json,missing,0.0,0.0,0.0,15.000000147494097,0.1100001335144043,1,3,1
65079_77887_configuration.json,missing,0.0,0.0,0.0,0.0,0.06700015068054199,0,1,1
65079_77889_configuration.json,missing,0.0,0.0,0.0,135.91339052048735,0.11500000953674316,20,14,1
65079_77921_configuration.json,missing,0.0,0.0,0.0,177.62340705703414,0.14699983596801758,28,18,1
65079_77936_configuration.json,missing,0.0,0.0,0.0,0.0,0.059999942779541016,0,1,1
65079_1738338_configuration.json,missing,0.0,0.0,0.0,175.35874662058964,0.13199996948242188,13,22,1
65079_77940_configuration.json,missing,0.0,0.0,0.0,195.63502327298994,0.8910000324249268,149,99,1
65079_77944_configuration.json,missing,0.0,0.0,0.0,0.0,0.05899977684020996,0,1,1
65079_77893_configuration.json,missing,0.0,0.0,0.0,15.000000147494097,0.11100006103515625,1,3,1
65079_77964_configuration.json,missing,0.0,0.0,0.0,0.0,0.06200003623962402,0,1,1
65079_77895_configuration.json,missing,0.0,0.0,0.0,180.3017530868066,0.16499996185302734,44,35,1
65079_2035824_configuration.json,missing,0.0,0.0,0.0,15.000000147494097,0.07599997520446777,1,3,1
65040_74239_configuration.json,missing,0.0,0.0,0.0,279.34453262592825,0.20099997520446777,87,13,1
65040_74234_configuration.json,missing,0.0,0.0,0.0,284.02168078741255,0.22500014305114746,102,21,1
65040_74237_configuration.json,missing,0.0,0.0,0.0,0.0,0.05900001525878906,0,1,1
