device_ean,p_size
ZIV0034870762,5.061379650744271
ZIV0034870759,5.061379650744271
ZIV0034904065,5.061379650744271
ZIV0036298633,5.061379650744271
ZIV0034870760,5.061379650744271
ZIV0034870764,5.061379650744271
ZIV0040637218,15.0
ZIV0034904064,5.061379650744271
ZIV0034904066,5.061379650744271
ZIV0034870763,5.061379650744271
ZIV0034904069,5.061379650744271
ZIV0034904070,5.061379650744271
ZIV0034904067,5.061379650744271
ZIV0047741005,5.061379650744271
ZIV0034870765,5.061379650744271
ZIV0034870766,5.061379650744271
ZIV0034904071,5.061379650744271
ZIV0034870768,5.061379650744271
ZIV0034904073,5.061379650744271
ZIV0034870767,5.061379650744271
ZIV0034904072,5.061379650744271
ZIV0034870761,5.061379650744271
ZIV0034866274,0.2228990462160118
ZIV0034866269,0.2228990462160118
ZIV0034832147,0.19580722135942047
ZIV0034866636,9.54882093813918
ZIV0034866455,3.96444951982686
ZIV0034866458,3.96444951982686
ZIV0034854843,0.19580722135942047
ZIV0034866450,3.96444951982686
ZIV0034866345,5.315309701396433
ZIV0034866254,3.9644495198268603
ZIV0034866633,9.548820938139178
ZIV0034866635,9.54882093813918
ZIV0034866216,0.2228990462160118
ZIV0034866451,3.96444951982686
ZIV0034866346,5.315309701396434
ZIV0036295147,0.2228990462160118
ZIV0034866218,0.2228990462160118
ZIV0034866632,9.548820938139178
ZIV0034866634,9.54882093813918
ZIV0034866252,3.9644495198268603
ZIV0034866213,0.2228990462160118
ZIV0034866273,0.19580722135942047
ZIV0034866454,3.96444951982686
ZIV0034684998,0.2228990462160118
ZIV0034863072,3.96444951982686
ZIV0034866211,0.2228990462160118
ZIV0036295152,0.19580722135942047
ZIV0034866631,9.54882093813918
ZIV0034863220,3.9644495198268603
ZIV0034863071,0.19580722135942047
ZIV0034866272,0.2228990462160118
ZIV0034866251,3.96444951982686
ZIV0034866347,5.315309701396433
ZIV0034866342,5.315309701396434
ZIV0046992311,0.2228990462160118
ZIV0034866348,5.315309701396434
ZIV0034866637,9.548820938139178
ZIV0034866332,0.19580722135942047
ZIV0034866417,3.96444951982686
ZIV0034866340,5.315309701396433
ZIV0034866629,9.548820938139178
ZIV0034863078,0.19580722135942047
ZIV0034866449,3.96444951982686
ZIV0036295151,3.96444951982686
ZIV0034866276,0.19580722135942047
ZIV0034866456,3.9644495198268603
ZIV0034866335,0.19580722135942047
ZIV0034863074,0.19580722135942047
ZIV0034866457,3.96444951982686
ZIV0034866416,3.9644495198268603
ZIV0034866278,0.19580722135942047
ZIV0034863075,0.19580722135942047
SAG0156201161,3.9644495198268603
ZIV0034863077,0.19580722135942047
ZIV0034866253,3.96444951982686
ZIV0034866334,0.19580722135942047
ZIV0034866258,3.96444951982686
ZIV0034866249,3.96444951982686
ZIV0034863070,0.19580722135942047
ZIV0036295149,0.19580722135942047
ZIV0034866275,0.19580722135942047
ZIV0034863111,5.315309701396433
ZIV0034866277,0.19580722135942047
ZIV0034866329,0.19580722135942047
ZIV0034866250,3.9644495198268603
ZIV0034866256,3.96444951982686
ZIV0034866330,0.19580722135942047
ZIV0034866343,5.315309701396434
ZIV0034866336,0.19580722135942047
ZIV0034866341,5.315309701396433
ZIV0034866344,9.54882093813918
ZIV0034866418,3.96444951982686
ZIV0046928845,3.96444951982686
ZIV0036288882,5.315309701396434
ZIV0034866257,3.96444951982686
ZIV0034866638,9.54882093813918
ZIV0034866339,5.315309701396434
ZIV0034866255,3.9644495198268603
ZIV0034866453,3.9644495198268603
ZIV0034866630,9.548820938139178
ZIV0034866333,0.19580722135942047
ZIV0034866270,0.2228990462160118
ZIV0034863069,0.19580722135942047
ZIV0034866860,5.061379636986862
ZIV0034866806,5.061379636986862
