device_ean,p_size
ZIV0034870762,5.0613796482666125
ZIV0034870759,5.0613796482666125
ZIV0034904065,5.0613796482666125
ZIV0036298633,5.0613796482666125
ZIV0034870760,5.0613796482666125
ZIV0034870764,5.0613796482666125
ZIV0034904064,5.0613796482666125
ZIV0034904066,5.0613796482666125
ZIV0034870763,5.0613796482666125
ZIV0034904069,5.0613796482666125
ZIV0034904070,5.0613796482666125
ZIV0034904067,5.0613796482666125
ZIV0047741005,5.0613796482666125
ZIV0034870765,5.0613796482666125
ZIV0034870766,5.0613796482666125
ZIV0034904071,5.0613796482666125
ZIV0034870768,5.0613796482666125
ZIV0034904073,5.0613796482666125
ZIV0034870767,5.0613796482666125
ZIV0034904072,5.0613796482666125
ZIV0034870761,5.0613796482666125
ZIV0034866274,2.3396963007750924
ZIV0034866269,2.3396963007750924
ZIV0034832147,2.3396963007750924
ZIV0034866636,2.3396963007750924
ZIV0034866455,2.3396963007750924
ZIV0034866458,2.3396963007750924
ZIV0046923446,2.3396963007750924
ZIV0034854843,2.3396963007750924
ZIV0034866626,2.3396963007750924
ZIV0034863069,2.3396963007750924
ZIV0034866450,2.3396963007750924
ZIV0034866345,2.3396963007750924
ZIV0034866254,2.3396963007750924
ZIV0034866633,2.3396963007750924
ZIV0034866635,2.3396963007750924
ZIV0034866623,2.3396963007750924
ZIV0036295156,2.3396963007750924
ZIV0034866216,2.3396963007750924
ZIV0034866451,2.3396963007750924
ZIV0034866346,2.3396963007750924
ZIV0036295147,2.3396963007750924
ZIV0034866218,2.3396963007750924
ZIV0034866632,2.3396963007750924
ZIV0034866634,2.3396963007750924
ZIV0034866628,2.3396963007750924
ZIV0034866252,2.3396963007750924
ZIV0034866705,2.3396963007750924
ZIV0046922274,2.3396963007750924
ZIV0040359564,2.3396963007750924
ZIV0046922275,2.3396963007750924
ZIV0034866213,2.3396963007750924
ZIV0034866273,2.3396963007750924
ZIV0036295157,2.3396963007750924
ZIV0034866454,2.3396963007750924
ZIV0034684998,2.3396963007750924
ZIV0040359563,2.3396963007750924
ZIV0034866707,2.3396963007750924
ZIV0034863072,2.3396963007750924
ZIV0034866211,2.3396963007750924
ZIV0034866704,2.3396963007750924
ZIV0036295152,2.3396963007750924
ZIV0034866631,2.3396963007750924
ZIV0034863220,2.3396963007750924
ZIV0034863071,2.3396963007750924
ZIV0034866272,2.3396963007750924
ZIV0044820003,2.3396963007750924
ZIV0034866251,2.3396963007750924
ZIV0034866347,2.3396963007750924
ZIV0046921840,2.3396963007750924
ZIV0034866342,2.3396963007750924
ZIV0034866701,2.3396963007750924
ZIV0046992311,2.3396963007750924
ZIV0034866348,2.3396963007750924
ZIV0046922276,2.3396963007750924
ZIV0034866637,2.3396963007750924
ZIV0040332093,2.3396963007750924
ZIV0034866332,2.3396963007750924
ZIV0046922281,2.3396963007750924
ZIV0034866417,2.3396963007750924
ZIV0034866340,2.3396963007750924
ZIV0034866629,2.3396963007750924
ZIV0034863078,2.3396963007750924
ZIV0034866449,2.3396963007750924
ZIV0036295151,2.3396963007750924
ZIV0034866276,2.3396963007750924
ZIV0034866456,2.3396963007750924
ZIV0034866335,2.3396963007750924
ZIV0034863074,2.3396963007750924
ZIV0034916661,2.3396963007750924
ZIV0034866457,2.3396963007750924
ZIV0034866620,2.3396963007750924
ZIV0046922280,2.3396963007750924
ZIV0034866703,2.3396963007750924
ZIV0034866627,2.3396963007750924
ZIV0034866416,2.3396963007750924
ZIV0034866278,2.3396963007750924
ZIV0034863075,2.3396963007750924
ZIV0046922278,2.3396963007750924
SAG0156201161,2.3396963007750924
ZIV0034863077,2.3396963007750924
ZIV0034866253,2.3396963007750924
ZIV0034866334,2.3396963007750924
ZIV0046922273,2.3396963007750924
ZIV0034866624,2.3396963007750924
SAG0145432047,2.3396963007750924
ZIV0034866258,2.3396963007750924
ZIV0034866249,2.3396963007750924
ZIV0046922279,2.3396963007750924
ZIV0034863070,2.3396963007750924
ZIV0036295149,2.3396963007750924
ZIV0034866275,2.3396963007750924
ZIV0034863111,2.3396963007750924
ZIV0034866277,2.3396963007750924
ZIV0034866329,2.3396963007750924
ZIV0034866250,2.3396963007750924
ZIV0034866256,2.3396963007750924
ZIV0034866625,2.3396963007750924
ZIV0034866708,2.3396963007750924
ZIV0034866330,2.3396963007750924
ZIV0046922282,2.3396963007750924
ZIV0034866343,2.3396963007750924
ZIV0034866336,2.3396963007750924
ZIV0034866341,2.3396963007750924
ZIV0034866344,2.3396963007750924
ZIV0034866418,2.3396963007750924
ZIV0046928845,2.3396963007750924
ZIV0036288882,2.3396963007750924
ZIV0034866257,2.3396963007750924
ZIV0034866638,2.3396963007750924
ZIV0034866706,2.3396963007750924
ZIV0034866339,2.3396963007750924
ZIV0034866255,2.3396963007750924
ZIV0034866453,2.3396963007750924
ZIV0046922277,2.3396963007750924
ZIV0036295158,2.3396963007750924
ZIV0034866630,2.3396963007750924
ZIV0034866333,2.3396963007750924
ZIV0034866619,2.3396963007750924
ZIV0034866621,2.3396963007750924
ZIV0034866270,2.3396963007750924
ZIV0034866860,2.6266323473750437
ZIV0034866806,2.6266323473750437
ZIV0034863405,2.6266323473750437
ZIV0034866779,2.6266323473750437
ZIV0034866958,2.6266323473750437
ZIV0034866991,2.6266323473750437
ZIV0040430857,2.6266323473750437
ZIV0034863429,2.6266323473750437
ZIV0034863430,2.6266323473750437
ZIV0034866953,2.6266323473750437
ZIV0034936279,2.6266323473750437
ZIV0036295110,2.6266323473750437
ZIV0034866716,2.6266323473750437
ZIV0034866718,2.6266323473750437
ZIV0036294435,2.6266323473750437
ZIV0034866803,2.6266323473750437
ZIV0034866955,2.6266323473750437
ZIV0036299739,2.6266323473750437
ZIV0034866861,2.6266323473750437
ZIV0034866804,2.6266323473750437
ZIV0034866715,2.6266323473750437
ZIV0034866717,2.6266323473750437
ZIV0036294437,2.6266323473750437
