conf,ts,HC1,HC2,HC3,HC0,HC_CC,HC_OPF,t_opf,t_cc,consumers,nodes,unc
1076069_1274125_configuration.json,59,0.0,0.0,0.0,340.11443563244546,340.24471357642756,278.7242998684556,2.4519999027252197,20.963000059127808,74,19,7
1076069_1274129_configuration.json,59,0.0,0.0,0.0,123.4999066308698,123.4999066308698,105.03703079760066,0.34200000762939453,0.6289999485015869,11,4,4
1076069_1274131_configuration.json,59,0.0,0.0,0.0,126.37712712513843,126.37712712513843,106.41416678689144,0.3080000877380371,38.27799987792969,22,3,4
1076069_2354896_configuration.json,59,0.0,0.0,0.0,15.000000147493903,15.000000147493903,15.000000147494097,0.11899995803833008,0.1550002098083496,1,3,2
1076069_2354903_configuration.json,59,0.0,0.0,0.0,45.000000442483675,45.000000442483675,45.00000044248242,0.15400004386901855,0.31400012969970703,3,11,3
1076109_1251039_configuration.json,57,0.0,0.0,0.0,331.9981690895467,331.9981690895467,275.1100195914276,0.2590000629425049,16.133999824523926,62,14,8
1076109_1251041_configuration.json,59,0.0,0.0,0.0,153.08338581905488,153.08338581905488,135.16222533128447,0.13700008392333984,3.6700000762939453,14,9,4
1076109_1251045_configuration.json,45,0.0,0.0,0.0,356.4564533205536,356.4564533205536,287.77071047563396,0.3600001335144043,32.66599988937378,129,33,7
1076128_1246490_configuration.json,56,0.0,0.0,0.0,328.48968256611136,328.48968256611136,272.0825552679669,0.28999996185302734,17.125,49,18,8
1076128_1246495_configuration.json,59,0.0,0.0,0.0,327.3223072934606,327.3223072934606,273.50166448805714,0.20599985122680664,6.9700000286102295,50,18,6
1076128_1246503_configuration.json,59,0.0,0.0,0.0,0.0,0.0,0.0,0.09000015258789062,0.11400008201599121,0,6,1
1076128_1246505_configuration.json,59,0.0,0.0,0.0,15.00000014749412,15.00000014749412,15.000000147493958,0.10299992561340332,0.20300006866455078,1,8,2
1076128_1246507_configuration.json,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0970001220703125,0.10599994659423828,0,8,1
1076128_1246510_configuration.json,45,0.0,0.0,0.0,355.9243240519534,356.176179084316,286.56869962911196,0.3489999771118164,52.83800005912781,106,25,8
1132967_1400848_configuration.json,45,0.0,0.0,0.0,346.4974788896668,346.601948185955,281.85424778056546,0.3269999027252197,50.598999977111816,86,50,7
1132967_1400862_configuration.json,59,0.0,0.0,0.0,180.00000176994712,180.00000176994712,180.0000017699388,0.13899993896484375,1.3269999027252197,12,35,4
1132967_1400879_configuration.json,59,0.0,0.0,0.0,45.00000044248307,45.00000044248307,45.000000442482474,0.1530001163482666,0.1679999828338623,3,7,2
1132967_1400881_configuration.json,59,0.0,0.0,0.0,230.06970122099048,230.06970122099048,210.1992671863666,0.17400002479553223,193.86800003051758,23,6,6
1132967_1400888_configuration.json,59,0.0,0.0,0.0,247.06459676921853,247.06459676921853,210.95042116194446,0.14499998092651367,70.55900001525879,29,6,5
1132967_1400910_configuration.json,45,0.0,0.0,0.0,282.56718101716143,287.0996357547024,280.74019303740107,0.2840001583099365,91.76699995994568,80,27,9
1132967_1400916_configuration.json,59,0.0,0.0,0.0,120.00000117995653,120.00000117995653,120.00000117995305,0.15599989891052246,0.48000001907348633,8,31,3
1132967_1400951_configuration.json,59,0.0,0.0,0.0,153.8761513253974,153.8761513253974,133.72384092092167,0.20200014114379883,1.1030001640319824,13,35,3
1136039_1464991_configuration.json,59,0.0,0.0,0.0,0.0,0.0,0.0,0.10199999809265137,0.10299992561340332,0,8,1
1136039_1464994_configuration.json,45,0.0,0.0,0.0,196.1000421490488,198.82158946636378,214.0316452709649,0.16200017929077148,28.598000049591064,96,15,6
1136039_1464997_configuration.json,59,0.0,0.0,0.0,0.0,0.0,0.0,0.09499979019165039,0.13700008392333984,0,2,1
1136039_1465000_configuration.json,59,0.0,0.0,0.0,207.25180977009387,207.25180977009387,183.79285366269025,0.18599987030029297,3.5329999923706055,46,11,6
1136039_1465006_configuration.json,59,0.0,0.0,0.0,30.000000294988233,30.000000294988233,30.00000029498795,0.11299991607666016,0.1789999008178711,2,9,3
1136039_1465008_configuration.json,59,0.0,0.0,0.0,0.0,0.0,0.0,0.08899998664855957,0.09100008010864258,0,2,1
1136042_1440533_configuration.json,59,0.0,0.0,0.0,230.50064884284274,230.50064884284274,209.5732845247105,0.14699983596801758,8.372999906539917,18,12,4
1136042_1440535_configuration.json,59,0.0,0.0,0.0,184.1458911105192,184.1458911105192,165.41261406895904,0.14300012588500977,1.9089999198913574,18,13,6
1136042_1440537_configuration.json,45,0.0,0.0,0.0,355.694182373912,356.1999298072431,287.3742348907609,0.44700002670288086,53.74300003051758,153,30,8
1136042_1440539_configuration.json,45,0.0,0.0,0.0,321.39556123184315,324.4820615477512,276.0731658489887,0.20099997520446777,14.803000211715698,59,27,6
1136042_1440548_configuration.json,59,0.0,0.0,0.0,45.000000442486865,45.000000442486865,45.0000004424854,0.12299990653991699,0.5669999122619629,3,17,4
1136042_1440552_configuration.json,59,0.0,0.0,0.0,0.0,0.0,0.0,0.11400008201599121,0.10599994659423828,0,4,1
1136056_1450251_configuration.json,59,0.0,0.0,0.0,15.000000147493978,15.000000147493978,15.000000147493918,0.10700011253356934,0.14600014686584473,1,5,2
1136056_1450254_configuration.json,45,0.0,0.0,0.0,289.33329645048275,292.19138481181346,273.63363815901374,0.18999981880187988,37.496999979019165,73,23,8
1136056_1450257_configuration.json,59,0.0,0.0,0.0,0.0,0.0,0.0,0.09000015258789062,0.08999991416931152,0,4,1
1136056_1450260_configuration.json,59,0.0,0.0,0.0,157.9946003708281,157.9946003708281,133.25336059210383,0.1700000762939453,12.80299997329712,24,16,4
1136056_1450263_configuration.json,45,0.0,0.0,0.0,293.29516440069,295.17674926420494,242.71924259010729,0.16199994087219238,7.98199987411499,66,20,6
1136056_1450269_configuration.json,45,0.0,0.0,0.0,306.44173529459374,309.5858806236995,281.60956865181464,0.30299997329711914,108.08700013160706,103,25,9
1136056_1450272_configuration.json,59,0.0,0.0,0.0,-1,-1,260.68167666644257,0.11100006103515625,503.77300000190735,26,6,6
