conf,ts,HC1,HC2,HC3,HC_OPF,t_opf,consumers,nodes,unc
65043_775431_configuration.json,missing,0.0,0.0,0.0,121.28897281312373,0.12400007247924805,22,6,1
65043_775433_configuration.json,missing,0.0,0.0,0.0,275.3490880084315,0.18199992179870605,72,13,1
65043_775435_configuration.json,missing,0.0,0.0,0.0,0.0,0.08999991416931152,0,1,1
65043_775437_configuration.json,missing,0.0,0.0,0.0,272.8303395520616,0.21899986267089844,66,7,1
65043_775439_configuration.json,missing,0.0,0.0,0.0,214.08027403998642,0.14700007438659668,54,8,1
65043_775441_configuration.json,missing,0.0,0.0,0.0,0.0,0.07000017166137695,0,1,1
65043_775443_configuration.json,missing,0.0,0.0,0.0,280.57654620582355,0.2330000400543213,89,25,1
65043_775445_configuration.json,missing,0.0,0.0,0.0,0.0,0.06699991226196289,0,1,1
65079_77883_configuration.json,missing,0.0,0.0,0.0,0.0,0.06800007820129395,0,1,1
65079_77899_configuration.json,missing,0.0,0.0,0.0,15.000000147494097,0.08699989318847656,1,3,1
65079_77887_configuration.json,missing,0.0,0.0,0.0,178.86164855561415,0.20399999618530273,41,21,1
65079_77889_configuration.json,missing,0.0,0.0,0.0,135.91339052048735,0.17599987983703613,20,14,1
65079_77921_configuration.json,missing,0.0,0.0,0.0,177.62340705703414,0.16199994087219238,28,18,1
65079_77936_configuration.json,missing,0.0,0.0,0.0,0.0,0.06799983978271484,0,1,1
65079_1738338_configuration.json,missing,0.0,0.0,0.0,175.35874662058964,0.15000009536743164,13,22,1
65079_77940_configuration.json,missing,0.0,0.0,0.0,185.91307053586772,0.2780001163482666,94,37,1
65079_77944_configuration.json,missing,0.0,0.0,0.0,0.0,0.0690000057220459,0,1,1
65079_77893_configuration.json,missing,0.0,0.0,0.0,15.000000147494097,0.08699989318847656,1,3,1
65079_77964_configuration.json,missing,0.0,0.0,0.0,0.0,0.0710000991821289,0,1,1
65079_77895_configuration.json,missing,0.0,0.0,0.0,180.3017530868066,0.23800015449523926,44,35,1
65079_2035824_configuration.json,missing,0.0,0.0,0.0,15.000000147494097,0.0820000171661377,1,3,1
65040_74239_configuration.json,missing,0.0,0.0,0.0,279.34453262592825,0.21700000762939453,87,13,1
65040_74234_configuration.json,missing,0.0,0.0,0.0,284.02168078741255,0.2389998435974121,102,21,1
65040_74237_configuration.json,missing,0.0,0.0,0.0,0.0,0.07200002670288086,0,1,1
65040_74253_configuration.json,missing,0.0,0.0,0.0,281.1714099413263,0.19499993324279785,84,13,1
65025_80123_configuration.json,missing,0.0,0.0,0.0,15.000000147493918,0.09599995613098145,1,5,1
65025_80091_configuration.json,missing,0.0,0.0,0.0,190.53909209528217,0.4010000228881836,80,131,1
65025_80069_configuration.json,missing,0.0,0.0,0.0,279.76956239720704,0.3020000457763672,63,38,1
65025_80035_configuration.json,missing,0.0,0.0,0.0,184.92602174625057,0.3190000057220459,60,38,1
65025_80008_configuration.json,missing,0.0,0.0,0.0,184.50226404024212,0.34200000762939453,59,53,1
65025_78226_configuration.json,missing,0.0,0.0,0.0,182.33931713043697,0.2590000629425049,47,38,1
65025_78205_configuration.json,missing,0.0,0.0,0.0,273.2557577686425,0.3819999694824219,49,54,1
65025_78203_configuration.json,missing,0.0,0.0,0.0,220.6980616595566,0.28299999237060547,107,41,1
65082_80172_configuration.json,missing,0.0,0.0,0.0,213.70469097675297,0.14599990844726562,51,7,1
65082_80175_configuration.json,missing,0.0,0.0,0.0,276.23937046777104,0.5220000743865967,56,87,1
65082_80178_configuration.json,missing,0.0,0.0,0.0,185.82761582255677,0.1809999942779541,81,17,1
65082_80180_configuration.json,missing,0.0,0.0,0.0,212.82833300679184,0.13400006294250488,44,6,1
65082_80182_configuration.json,missing,0.0,0.0,0.0,88.7128854516398,0.1789999008178711,17,10,1
65082_80184_configuration.json,missing,0.0,0.0,0.0,101.99299401504231,0.21199989318847656,112,15,1
65082_80188_configuration.json,missing,0.0,0.0,0.0,281.4389549904637,0.22900009155273438,96,18,1
65082_80190_configuration.json,missing,0.0,0.0,0.0,0.0,0.0710000991821289,0,1,1
65028_84560_configuration.json,missing,0.0,0.0,0.0,120.0000011799618,0.10300016403198242,8,23,1
65028_84562_configuration.json,missing,0.0,0.0,0.0,0.0,0.06500005722045898,0,1,1
65028_84566_configuration.json,missing,0.0,0.0,0.0,273.04293866152886,0.2390000820159912,60,22,1
65028_84569_configuration.json,missing,0.0,0.0,0.0,288.3489371640707,1.5600001811981201,120,130,1
65028_84571_configuration.json,missing,0.0,0.0,0.0,190.9618978341536,0.25100016593933105,18,41,1
65028_84573_configuration.json,missing,0.0,0.0,0.0,0.0,0.06799983978271484,0,1,1
65028_84575_configuration.json,missing,0.0,0.0,0.0,0.0,0.06599998474121094,0,1,1
65028_84579_configuration.json,missing,0.0,0.0,0.0,15.000000147494097,0.08100008964538574,1,3,1
65037_74263_configuration.json,missing,0.0,0.0,0.0,278.8860916222679,0.19300007820129395,78,22,1
65037_74272_configuration.json,missing,0.0,0.0,0.0,0.0,0.11600017547607422,0,1,1
65037_74313_configuration.json,missing,0.0,0.0,0.0,107.91649536022764,0.12599992752075195,34,8,1
