device_ean,p_size
ZIV0034870852,2.298181262348521
ZIV0034870849,2.298181262348521
ZIV0034870759,2.298181262348521
ZIV0034870873,2.298181262348521
ZIV0046926322,2.298181262348521
ZIV0034870760,2.298181262348521
ZIV0034866640,2.298181262348521
?0053032789,2.298181262348521
ZIV0034831842,2.298181262348521
ZIV0034870870,2.298181262348521
ZIV0034870872,2.298181262348521
ZIV0034870797,2.298181262348521
ZIV0036295077,2.298181262348521
SOG0020028022,2.298181262348521
ZIV0034870853,2.298181262348521
ZIV0034870798,2.298181262348521
ZIV0034870869,2.298181262348521
ZIV0034870871,2.298181262348521
ZIV0034831840,2.298181262348521
ZIV0034870796,2.298181262348521
ZIV0034870768,2.298181262348521
ZIV0036309422,2.298181262348521
ZIV0034870790,2.298181262348521
ZIV0034870878,2.298181262348521
ZIV0034870791,2.298181262348521
ZIV0034870789,2.298181262348521
ZIV0034870868,2.298181262348521
ZIV0036299204,2.298181262348521
ZIV0034870763,2.298181262348521
ZIV0034870851,2.298181262348521
ZIV0034831839,2.298181262348521
ZIV0034870529,2.298181262348521
ZIV0036299157,2.298181262348521
ZIV0034870854,2.298181262348521
ZIV0034870667,2.298181262348521
ZIV0034870874,2.298181262348521
ZIV0034904071,2.298181262348521
ZIV0034831848,2.298181262348521
ZIV0034870857,2.298181262348521
ZIV0034870794,2.298181262348521
ZIV0034870767,2.298181262348521
ZIV0034831926,2.298181262348521
ZIV0034904065,2.298181262348521
ZIV0046973494,2.298181262348521
ZIV0036298633,2.298181262348521
ZIV0034870764,2.298181262348521
ZIV0050039332,2.298181262348521
ZIV0034831847,2.298181262348521
ZIV0034904067,2.298181262348521
ZIV0034870765,2.298181262348521
ZIV0034870877,2.298181262348521
ZIV0034870766,2.298181262348521
ZIV0034831841,2.298181262348521
ZIV0034904073,2.298181262348521
ZIV0034831846,2.298181262348521
ZIV0036299208,2.298181262348521
ZIV0034870762,2.298181262348521
ZIV0040637218,2.298181262348521
ZIV0034904064,2.298181262348521
ZIV0034870855,2.298181262348521
ZIV0034904066,2.298181262348521
ZIV0034904069,2.298181262348521
ZIV0034679116,2.298181262348521
ZIV0034831844,2.298181262348521
ZIV0034904070,2.298181262348521
ZIV0046916800,2.298181262348521
ZIV0047741005,2.298181262348521
ZIV0034870858,2.298181262348521
ZIV0034870793,2.298181262348521
ZIV0034831924,2.298181262348521
ZIV0034870792,2.298181262348521
ZIV0034831845,2.298181262348521
ZIV0034870876,2.298181262348521
ZIV0034870856,2.298181262348521
ZIV0034831843,2.298181262348521
ZIV0036298642,2.298181262348521
ZIV0034870795,2.298181262348521
ZIV0034904072,2.298181262348521
ZIV0034870850,2.298181262348521
ZIV0034870761,2.298181262348521
ZIV0034866274,2.3396963007750924
ZIV0034866269,2.3396963007750924
ZIV0034832147,2.3396963007750924
ZIV0034866636,2.3396963007750924
ZIV0034866455,2.3396963007750924
ZIV0034866458,2.3396963007750924
ZIV0046923446,2.3396963007750924
ZIV0034854843,2.3396963007750924
ZIV0034866626,2.3396963007750924
ZIV0034863069,2.3396963007750924
ZIV0034866450,2.3396963007750924
ZIV0034866345,2.3396963007750924
ZIV0034866254,2.3396963007750924
ZIV0034866633,2.3396963007750924
ZIV0034866635,2.3396963007750924
ZIV0034866623,2.3396963007750924
ZIV0036295156,2.3396963007750924
ZIV0034866216,2.3396963007750924
ZIV0034866451,2.3396963007750924
ZIV0034866346,2.3396963007750924
ZIV0036295147,2.3396963007750924
ZIV0034866218,2.3396963007750924
ZIV0034866632,2.3396963007750924
ZIV0034866634,2.3396963007750924
ZIV0034866628,2.3396963007750924
ZIV0034866252,2.3396963007750924
ZIV0034866705,2.3396963007750924
ZIV0046922274,2.3396963007750924
ZIV0040359564,2.3396963007750924
ZIV0046922275,2.3396963007750924
ZIV0034866213,2.3396963007750924
ZIV0034866273,2.3396963007750924
ZIV0036295157,2.3396963007750924
ZIV0034866454,2.3396963007750924
ZIV0034684998,2.3396963007750924
ZIV0040359563,2.3396963007750924
ZIV0034866707,2.3396963007750924
ZIV0034863072,2.3396963007750924
ZIV0034866211,2.3396963007750924
ZIV0034866704,2.3396963007750924
ZIV0036295152,2.3396963007750924
ZIV0034866631,2.3396963007750924
ZIV0034863220,2.3396963007750924
ZIV0034863071,2.3396963007750924
ZIV0034866272,2.3396963007750924
ZIV0044820003,2.3396963007750924
ZIV0034866251,2.3396963007750924
ZIV0034866347,2.3396963007750924
ZIV0046921840,2.3396963007750924
